,LSTM ,DEEP MAXOUT ,DNN,SVM,KNN,LinkNet,BiLSTM,Improved Bi-LSTM+LinkNet
Mean,0.8988710885511539,0.9053116931007624,0.898747443221893,0.906192972731789,0.8973524121878967,0.9035791021913926,0.8988289151287666,0.9640803495311168
Median,0.8996486519224518,0.9068344173765848,0.8985140710960643,0.904532228437199,0.8976664550712372,0.9077936959895,0.901806511312689,0.9642398357528812
Std-Dev,0.0134180021896309,0.0161978563180705,0.0139592694379638,0.0087602642070027,0.0123525575865954,0.0147289655091066,0.0114030887692623,0.0107522032509425
Min,0.8796402877697842,0.881630695443645,0.8817026378896883,0.8959952038369304,0.8803117505995204,0.8806474820143885,0.8803357314148681,0.9494244604316546
Max,0.916546762589928,0.925947242206235,0.9162589928057554,0.9197122302158274,0.9137649880095924,0.9180815347721822,0.91136690647482,0.9784172661870504
